
# https://www.bogleheads.org/wiki/Lazy_portfolios
# portfoliocharts

EQ-US-MB,,SWMCX,   0.04%
EQ-US-MB,,VIMAX,   0.05%
EQ-US-SB,,SWSSX,   0.04%
EQ-US-SB,,VSMAX,   0.05%

EQ-ID-TSM,,SWISX,   0.06%
EQ-ID-TSM,,VTMGX,   0.07%

FI-IT-TBM,,SWAGX,   0.04%
FI-IT-TBM,,VBTLX,   0.05%
FI-ST-ANY,,SWSBX,   0.06%
FI-ST-ANY,,VBIRX,   0.07%
FI-IT-IPS,,SWRSX,   0.05%
FI-IT-IPS,,VAIPX,    0.10% 

EQ-US-TSM,,ITOT,0.0003
EQ-US-LB,,ILCB,0.0003
EQ-US-MB,,IMCB,0.0004
EQ-US-SB,,ISCB,0.0004
EQ-US-LG,,IUSG,0.0004
EQ-US-LV,,IUSV,0.0004
EQ-US-SG,,ISCG,0.0006
EQ-US-SV,,ISCV,0.0006
OTHER-REIT-US,,USRT,0.0008
,,,
EQ-IG-TSM,,IXUS,0.0009
#EQ-IG-LB,,–,–
#EQ-IG-SB,,–,–
EQ-ID-TSM,,IDEV,0.0005
EQ-IE-TSM,,IEMG,0.0011
EQ-ID-LB,,EFA,0.0032
EQ-ID-SB,,SCZ,0.004
EQ-IE-LB,,EEM,0.007
EQ-IE-SB,,EEMS,0.0071
,,,
EQ-TW-TSM,,ACWI,0.0032
,,,
FI-IT-TBM,,AGG,0.0004
FI-ST-GOV,,SHY,0.0015
FI-IT-GOV,,GOVT,0.0005
FI-LT-GOV,,TLT,0.0015
FI-ST-IPS,,STIP,0.0005
FI-IT-IPS,,TIP,0.0019
FI-ST-ANY,,ISTB,0.0006
FI-IT-ANY,,IMTB,0.0006
FI-LT-ANY,,ILTB,0.0006
,,,
FI-XUS-IT-TBM,,IAGG,0.0008
,,,
EQ-US-TSM,,SCHB,0.0003
EQ-US-LB,,SCHX,0.0003
EQ-US-MB,,SCHM,0.0004
EQ-US-SB,,SCHA,0.0004
EQ-US-LG,,SCHG,0.0004
EQ-US-LV,,SCHV,0.0004
#EQ-US-SG,,–,–
#EQ-US-SV,,–,–
OTHER-REIT-US,,SCHH,0.0007
,,,
#EQ-IG-TSM,,–,–
#EQ-IG-LB,,–,–
#EQ-IG-SB,,–,–
#EQ-ID-TSM,,–,–
#EQ-IE-TSM,,–,–
EQ-ID-LB,,SCHF,0.0006
EQ-ID-SB,,SCHC,0.0011
EQ-IE-LB,,SCHE,0.0011
#EQ-IE-SB,,–,–
,,,
#EQ-TW-TSM,,–,–
,,,
FI-IT-TBM,,SCHZ,0.0004
FI-ST-GOV,,SCHO,0.0005
FI-IT-GOV,,SCHR,0.0005
FI-LT-GOV,,SCHQ,0.0005
#FI-ST-IPS,,–,–
FI-IT-IPS,,SCHP,0.0005
#FI-ST-ANY,,–,–
#FI-IT-ANY,,–,–
#FI-LT-ANY,,–,–
,,,
#FI-XUS-IT-TBM,,–,–
,,,
EQ-US-TSM,,SPTM,0.0003
EQ-US-LB,,SPLG,0.0003
EQ-US-MB,,SPMD,0.0005
EQ-US-SB,,SPSM,0.0005
EQ-US-LG,,SPYG,0.0004
EQ-US-LV,,SPYV,0.0004
EQ-US-SG,,SLYG,0.0015
EQ-US-SV,,SLYV,0.0015
OTHER-REIT-US,,XLRE,0.0012
,,,
#EQ-IG-TSM,,–,–
EQ-IG-LB,,CWI,0.003
#EQ-IG-SB,,–,–
EQ-ID-TSM,,SPDW,0.0004
EQ-IE-TSM,,SPEM,0.0011
#EQ-ID-LB,,–,–
